metric,winner,loser,delta
mfe,-24.200000762939453,-16.200000762939453,-8.0
mfe,-24.200000762939453,-18.799999237060547,-5.400001525878906
mfe,-24.200000762939453,-12.5,-11.700000762939453
mfe,-24.200000762939453,-22.600000381469727,-1.6000003814697266
mfe,-24.200000762939453,-22.100000381469727,-2.1000003814697266
mfe,-24.200000762939453,-17.100000381469727,-7.100000381469727
mfe,-13.5,-7.800000190734863,-5.699999809265137
mfe,-13.5,-9.399999618530273,-4.100000381469727
mfe,-13.5,-2.9000000953674316,-10.599999904632568
mfe,-10.399999618530273,-9.399999618530273,-1.0
mfe,-10.399999618530273,-2.9000000953674316,-7.499999523162842
mfe,-9.199999809265137,-7.800000190734863,-1.3999996185302734
mfe,-9.199999809265137,-2.9000000953674316,-6.299999713897705
mfe,-11.199999809265137,-9.399999618530273,-1.8000001907348633
mfe,-11.199999809265137,-2.9000000953674316,-8.299999713897705
mfe,-9.5,-9.399999618530273,-0.10000038146972656
mfe,-9.5,-2.9000000953674316,-6.599999904632568
mfe,-13.899999618530273,-7.800000190734863,-6.09999942779541
mfe,-13.899999618530273,-9.399999618530273,-4.5
mfe,-13.899999618530273,-2.9000000953674316,-10.999999523162842
mfe,-9.699999809265137,-7.800000190734863,-1.8999996185302734
mfe,-9.699999809265137,-9.399999618530273,-0.3000001907348633
mfe,-9.699999809265137,-2.9000000953674316,-6.799999713897705
mfe,-21.0,-13.399999618530273,-7.600000381469727
mfe,-21.0,-19.399999618530273,-1.6000003814697266
mfe,-19.700000762939453,-18.799999237060547,-0.9000015258789062
mfe,-19.700000762939453,-13.399999618530273,-6.30000114440918
mfe,-19.700000762939453,-19.399999618530273,-0.3000011444091797
mfe,-19.5,-13.399999618530273,-6.100000381469727
mfe,-19.5,-19.399999618530273,-0.10000038146972656
mfe,-22.0,-13.399999618530273,-8.600000381469727
mfe,-22.0,-19.399999618530273,-2.6000003814697266
mfe,-42.900001525878906,-36.79999923706055,-6.100002288818359
mfe,-42.900001525878906,-29.5,-13.400001525878906
mfe,-41.29999923706055,-36.79999923706055,-4.5
mfe,-41.29999923706055,-29.5,-11.799999237060547
mfe,-41.29999923706055,-36.20000076293945,-5.099998474121094
mfe,-41.29999923706055,-29.899999618530273,-11.399999618530273
mfe,-41.29999923706055,-41.0,-0.2999992370605469
mfe,-51.79999923706055,-42.900001525878906,-8.89999771118164
mfe,-51.79999923706055,-36.79999923706055,-15.0
mfe,-51.79999923706055,-29.5,-22.299999237060547
mfe,-51.79999923706055,-36.20000076293945,-15.599998474121094
mfe,-51.79999923706055,-29.899999618530273,-21.899999618530273
mfe,-51.79999923706055,-41.0,-10.799999237060547
mfe,-39.29999923706055,-36.79999923706055,-2.5
mfe,-39.29999923706055,-29.5,-9.799999237060547
mfe,-39.29999923706055,-36.20000076293945,-3.0999984741210938
mfe,-39.29999923706055,-29.899999618530273,-9.399999618530273
mfe,-37.900001525878906,-36.79999923706055,-1.1000022888183594
mfe,-37.900001525878906,-29.5,-8.400001525878906
mfe,-37.900001525878906,-36.20000076293945,-1.7000007629394531
mfe,-37.900001525878906,-29.899999618530273,-8.000001907348633
mfe,-41.0,-36.79999923706055,-4.200000762939453
mfe,-41.0,-29.5,-11.5
mfe,-41.0,-36.20000076293945,-4.799999237060547
mfe,-41.0,-29.899999618530273,-11.100000381469727
mfe,-35.400001525878906,-32.5,-2.9000015258789062
mfe,-35.400001525878906,-31.200000762939453,-4.200000762939453
mfe,-35.400001525878906,-35.0,-0.40000152587890625
mfe,-35.400001525878906,-29.799999237060547,-5.600002288818359
mfe,-35.400001525878906,-26.700000762939453,-8.700000762939453
mfe,-35.400001525878906,-31.200000762939453,-4.200000762939453
mfe,-32.79999923706055,-32.70000076293945,-0.09999847412109375
mfe,-42.400001525878906,-41.099998474121094,-1.3000030517578125
mfe,-42.400001525878906,-37.79999923706055,-4.600002288818359
mfe,-44.20000076293945,-41.099998474121094,-3.1000022888183594
mfe,-44.20000076293945,-37.79999923706055,-6.400001525878906
mfe,-50.5,-42.400001525878906,-8.099998474121094
mfe,-50.5,-44.20000076293945,-6.299999237060547
mfe,-50.5,-41.099998474121094,-9.400001525878906
mfe,-50.5,-37.79999923706055,-12.700000762939453
mfe,-44.79999923706055,-44.20000076293945,-0.5999984741210938
mfe,-44.79999923706055,-41.099998474121094,-3.700000762939453
mfe,-44.79999923706055,-37.79999923706055,-7.0
mfe,-43.5,-41.099998474121094,-2.4000015258789062
mfe,-43.5,-37.79999923706055,-5.700000762939453
mfe,-42.29999923706055,-41.099998474121094,-1.2000007629394531
mfe,-42.29999923706055,-37.79999923706055,-4.5
mfe,-42.599998474121094,-41.099998474121094,-1.5
mfe,-42.599998474121094,-37.79999923706055,-4.799999237060547
mfe,-39.70000076293945,-32.099998474121094,-7.600002288818359
mfe,-33.900001525878906,-32.099998474121094,-1.8000030517578125
mfe,-35.5,-32.099998474121094,-3.4000015258789062
mfe,-41.099998474121094,-32.099998474121094,-9.0
mfe,-45.599998474121094,-42.599998474121094,-3.0
mfe,-45.599998474121094,-41.79999923706055,-3.799999237060547
mfe,-46.79999923706055,-43.29999923706055,-3.5
mfe,-46.79999923706055,-46.400001525878906,-0.3999977111816406
mfe,-48.900001525878906,-46.79999923706055,-2.1000022888183594
mfe,-48.900001525878906,-28.700000762939453,-20.200000762939453
mfe,-48.900001525878906,-43.29999923706055,-5.600002288818359
mfe,-48.900001525878906,-46.400001525878906,-2.5
mfe,-37.5,-28.700000762939453,-8.799999237060547
mfe,-36.79999923706055,-28.700000762939453,-8.099998474121094
mfe,-43.0,-28.700000762939453,-14.299999237060547
mfe,-39.900001525878906,-28.700000762939453,-11.200000762939453
mfe,-42.20000076293945,-28.700000762939453,-13.5
mfe,-46.400001525878906,-43.29999923706055,-3.1000022888183594
mfe,-9.699999809265137,-4.699999809265137,-5.0
mfe,-4.400000095367432,0.0,-4.400000095367432
mfe,-0.699999988079071,0.0,-0.699999988079071
mfe,-0.699999988079071,-0.10000000149011612,-0.5999999865889549
mfe,-45.599998474121094,-41.79999923706055,-3.799999237060547
mfe,-45.599998474121094,-42.599998474121094,-3.0
mfe,-28.5,-22.100000381469727,-6.399999618530273
mfe,-28.5,-26.200000762939453,-2.299999237060547
mfe,-33.29999923706055,-22.100000381469727,-11.19999885559082
mfe,-33.29999923706055,-29.899999618530273,-3.3999996185302734
